0,multiplicand,multiplier,accurate result,approximate result,accuracy
417,5652445,6687374,37800013729430,37791337760179,0.9997704243944457
418,5770912,6549958,37799231221696,37799229727712,0.9999999604758083
419,2879554,8045679,23167967147166,23167925462046,0.9999982007400676
420,4065538,4400431,17890119446878,17889977897310,0.9999920877728965
421,4416021,1512835,6680711129535,6611977132543,0.9896046226999632
422,5526801,2957350,16344684937350,16310200771171,0.9978857301229577
423,761833,5770861,4396432348213,4121551028981,0.9333063409140998
424,2064220,715734,1477432437480,1477424147668,0.9999943890100801
425,151938,4024832,611524924416,587899524608,0.9598138817619338
426,2235866,2515790,5624969324140,5525958255686,0.9820825522248342
427,7292889,200363,1461225118707,1461225118707,1.0
428,2851006,6095098,17377160968588,17376612268618,0.9999684230757113
429,7344014,5758387,42289674745418,37879267590218,0.8835667256581553
430,7388716,919212,6791796411792,6791795580304,0.9999998775746428
431,4530956,6607673,29939075625388,27667018022364,0.9178784789460348
432,619436,4570499,2831131618564,2828916583428,0.9992170023149584
433,6860681,144874,993934299194,941591623363,0.9444104274801721
434,2503115,4187178,10480988059470,10480975665433,0.9999988174729724
435,7892017,8137510,64221367257670,64220827992259,0.9999916029514433
436,4137599,4398856,18200702186744,18200699342580,0.9999998437332573
437,5917924,4772007,28240374753468,27681595392876,0.9798140478299237
438,1573374,2581328,4061394360672,4059239037280,0.9994690326506507
439,822730,6658941,5478510528930,5177590736674,0.9418803440518155
440,4739518,1684434,7983405262812,7982828370330,0.9999277333226725
441,427179,2302607,983625355653,968125033541,0.9839893385926545
442,3717893,4156534,15453548662862,15435234582015,0.9988134886613036
443,2708914,348113,943008179282,942739743826,0.9997152602743674
444,4647607,4605991,21406836013537,21268588140149,0.9934999035912954
445,3884761,3790272,14724300844992,14722090718912,0.9998498768875835
446,1507015,2551709,3845463738635,3708018740827,0.9629330358299792
447,4202782,7996937,33609382878734,33540415621254,0.9979437566230903
448,2148477,2850661,6124579593297,5917879780577,0.9650719817934783
449,441423,3471079,1532214105417,1531951934717,0.9998288649310343
450,658639,5937026,3910356867614,3907645103789,0.9993060363075524
451,4841652,4046812,19593255413424,19524536851312,0.9964803998868028
452,1629953,3185151,5191646427903,5114075737599,0.9848319238345072
453,864551,5948563,5142836090213,4043287519013,0.7280558045824035
454,5975206,2288990,13677186781940,13633952380218,0.9968289164787806
455,4356148,4831512,21046781335776,21003819026032,0.9979545477091213
